ITEM,SERVICES REQUIRED,LINE ITEM UNIQUE CODE,PAYMENT METHOD,Total Time Units,APPLICABLE TOTAL TIME,SINGLE WELL QUANTITY,607 HYPOS SEV (P90),607 HYPOS CEV,768 HYPOS SEV (P90),768 HYPOS CEV,814 HYPOS SEV (P90),814 HYPOS CEV,WELL CLASSIFICATION,,
MV.1,Well Site Services (refer to note 1 below),MV.1>Well Site Services (refer to note 1 below),Lump Sum / Well,N/A,24.32745,1,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.2,32” drilling phase with preinstalled Conductor Pipe (without fuel) ,MV.2>32” drilling phase with preinstalled Conductor Pipe (without fuel) ,Lump Sum / Meter / Phase,days/meter,0.00000,55,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.3,23” drilling phase (without fuel),MV.3>23” drilling phase (without fuel),,days/meter,0.00625,675,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.4,"17 ½"" drilling phase (without fuel)","MV.4>17 ½"" drilling phase (without fuel)",,days/meter,0.00959,1210,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.5,12 ¼” drilling phase (without fuel),MV.5>12 ¼” drilling phase (without fuel),,days/meter,0.01495,540,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.6,"8 ½"" drilling phase (without fuel)","MV.6>8 ½"" drilling phase (without fuel)",,days/meter,0.00000,0,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.7,Running of kill string (without fuel),MV.7>Running of kill string (without fuel),Lump Sum / Well,days,0.43000,1,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.8,Running of completion string (without fuel),MV.8>Running of completion string (without fuel),Lump Sum / Well,days,3.14800,0,9,9,9,9,9,9,MISHRIF VERTICAL,,
MV.9,Wellhead and X-mas Tree installation service,MV.9>Wellhead and X-mas Tree installation service,Lump Sum / Well,N/A,0.00000,1,9,9,9,9,9,9,MISHRIF VERTICAL,,
MD.1,Well Site Services (refer to note 1 below),MD.1>Well Site Services (refer to note 1 below),Lump Sum / Well,N/A,26.84695,1,13,13,13,13,13,13,MISHRIF DEVIATED,,349.01
