,,,,,
"ITT 700002814
INTEGRATED DRILLING SERVICES
APPENDIX A2 - SCHEDULE OF RATES TURNKEY MISHRIF
[TENDERER TO QUOTE]",,,,,
,,,,,
MISHRIF Vertical Well  ,,,,,
ITEM,SERVICES REQUIRED,PAYMENT METHOD,Rate with water base mud (USD),,
MV.1,Well Site Services (refer to note 1 below),Lump Sum / Well," ? 5,85,046.48 ",,
MV.2,32” drilling phase with preinstalled Conductor Pipe (without fuel) ,Lump Sum / Meter / Phase, ? 669.09 ,,
MV.3,23” drilling phase (without fuel),, ? 262.78 ,,
MV.4,"17 ½"" drilling phase (without fuel)",, ? 413.06 ,,
MV.5,12 ¼” drilling phase (without fuel),, ? 872.08 ,,
MV.6,"8 ½"" drilling phase (without fuel)",,NOT APPLICABLE,,
MV.7,Running of kill string (without fuel),Lump Sum / Well," ? 6,497.27 ",,
MV.8,Running of completion string (without fuel),Lump Sum / Well," ? 59,098.52 ",,
MV.9,Wellhead and X-mas Tree installation service,Lump Sum / Well," ? 13,500.00 ",,
,,,,,
MISHRIF Deviated Well  ,,,,,
ITEM,SERVICES REQUIRED,PAYMENT METHOD,Rate with water base mud (USD),,
MD.1,Well Site Services (refer to note 1 below),Lump Sum / Well," ? 6,18,616.07 ",,
MD.2,32” drilling phase with preinstalled Conductor Pipe (without fuel) ,Lump Sum / Meter / Phase, ? 669.09 ,,
MD.3,23” drilling phase (without fuel),, ? 262.78 ,,
MD.4,"17 ½"" drilling phase (without fuel)",, ? 483.06 ,,
MD.5,12 ¼” drilling phase (without fuel),, ? 680.77 ,,
MD.6,"8 ½"" drilling phase (without fuel)",,NOT APPLICABLE,,
MD.7,Running of kill string (without fuel),Lump Sum / Well," ? 6,497.27 ",,
MD.8,Running of completion string (without fuel),Lump Sum / Well," ? 54,174.79 ",,
MD.9,Wellhead and X-mas Tree installation service,Lump Sum / Well," ? 13,500.00 ",,
,,,,,
,Note 1: the Lump Sum shall include the following services,,,,
,,,,,
1,Well Site Services,,,,
1.1,"Contract Project Team (as per ""APPENDIX A1 - PRICE APPLICABILITY CRITERIA"")",,,,
1.2,Communication and Data Transmission ,,,,
1.3,Transport and logistics (including transportation of the tubulars and wellhead provided by the COMPANY as a part of the service and n.2 (two) light vehicles on each rig for company use),,,,
,,,,,
2,Drilling Rig + Rig Camp + Accommodation Camp,,,,
,,,,,
3,Drilling Phase,,,,
3.1,"Drilling Tools, Drilling Bit, Directional Drilling, MWD, LWD ",,,,
3.2,Surface Logging,,,,
3.3,Drilling and Completion Fluids,,,,
3.4,Cementing and Casing Accessories,,,,
3.5,Tubular Running,,,,
3.6,"Fishing, Milling and Cutting",,,,
3.7,Waste Management and Disposal,,,,
3.8,Liner Hanger ,,,,
3.9,Wire Line Logging,,,,
3.10,Dynamic Security,,,,
,,,,,
4,Completion,,,,
,,,,,
5,Wellhead and X-Mas Tree Installation services,,,,
